word,meaning
チャック、ファスナー、ジッパー ," zipper, zipper fastener (chakku, fasunā, jippā)"
れい、ゼロ、零 ," zero (rei, zero)"
わかもの、若者 ," youth, young person (wakamono)"
いもうと、妹 , younger sister (imōto)
おとうと、弟 , younger brother (otōto)
わかい、若い , young (wakai)
きのう、さくじつ、昨日 ," yesterday (kinō, sakujitsu)"
はい , yes (hai)
きいろ、黄色 , yellow (kiiro)
とし、ねん、年 ," year (toshi, nen)"
いも、芋 ," yam, potato, taro (imo)"
てくび、手首 , wrist (tekubi)
すばらしい、素晴らしい , wonderful (subarashii)
おんなのひと、女の人 , woman (onnanohito)
オオカミ、狼 , wolf (ōkami)
ワイン , wine (wain)
まど、窓 , window (mado)
かぜ、風 , wind (kaze)
つま、妻 , wife (tsuma)
はば、幅 ," width, breadth, free room, difference (between two substances) (haba)"
しろ、白 , white (shiro)
ながら ," while, though, both (nagara)"
どちら、どっち ," which direction, thing, person, or place (dochira, docchi)"
どれ , which (dore)
どの , which (dono)
なり , whether or not (nari)
か , whether (ka)
と ," when, if, that (to)"
むぎ、麦 ," wheat, barley, oats (mugi)"
ようふく、洋服 , western clothing (yōfuku)
にし、西 , west (nishi)
しゅう、週 , week (shū)
すいようび、水曜日 , Wednesday (sui-yōbi)
てんき、天気 , weather (tenki)
みず、水 , water (mizu)
みず、水 , water (mizu)
こし、腰 ," waist, hip (koshi)"
う、よう ," volitional ending [う for u-verbs, よう for ru-verbs]: ""Let's…"" or ""I will"" (u, yō)"
とても , very (totemo)
じどうはんばいき、自動販売機 ," vending machine, slot machine (jidōhanbaiki)"
やさい、野菜 , vegetable (yasai)
まで , until (made)
こめ、米 , uncooked rice (kome)
おじ、伯父、叔父 , uncle (oji) (oji-san)
かさ、傘 ," umbrella, parasol (kasa)"
たいふう、台風 , typhoon (taifū)
ふたつ、二つ ," two, two things (futatsu)"
に、二 , two (ni)
まぐろ、鮪 , tuna (maguro)
かようび、火曜日 , Tuesday (ka-yōbi)
き、木 , tree (ki)
でんしゃ、電車 , train (densha)
は ," topic marker (wa) [although ha is the hiragana used, wa is the pronunciation)"
は、歯 , tooth (ha)
も ," too, also (mo)"
あした、あす、みょうにち、明日 ," tomorrow (ashita, asu, myōnichi)"
トマト、ばんか、蕃茄 ," tomato (tomato, banka)"
きょう、今日 , today (kyō)
がま、蟇 , toad (gama)
かく、書く , to write (kaku)
はたらく、働く ," to work [e.g., at a job] (hataraku)"
きる、着る , to wear [on the upper body] (kiru)
はく、履く , to wear [on the lower body] (haku)
あるく、歩く , to walk (aruku)
さめる、覚める ," to wake, to become sober, to be disillusioned (sameru)"
つかう、使う , to use (tsukau)
さわる、触る ," to touch, to feel (sawaru)"
